"ConState","Year","TotInsLabour","InsLabEmp","InsLabUnemp","TotOutLabour","TotInsLabourM","InsLabEmpM","InsLabUnempM","TotOutLabourM","TotInsLabourF","InsLabEmpF","InsLabUnempF","TotOutLabourF","AllTotalWorkForce","SubTotWorkForce","BumiWorkForce","ChineseWorkForce","IndianWorkForce","OtherWorkForce","SubTotForeignWorkForce"
"Johor",1982,653.1,630.2,22.9,345.1,420.6,408.6,12,69.3,232.5,221.6,10.9,275.9,653.1,635.4,221.4,243.3,56.5,114.2,17.7
"Kedah",1982,403.9,389,15,259.2,266.8,260.8,6,58,137.1,128.1,8.9,201.2,403.9,400.7,297.8,70.7,25.2,7,3.3
"Kelantan",1982,319.4,304.3,15.2,188.9,192.8,185.2,7.6,49.7,126.6,119,7.6,139.2,319.4,312.3,287.7,19.4,1.7,3.5,7.1
"Malaysia",1982,5431.4,5249,182.4,2944.6,3562.3,3465.3,97,611.5,1869.1,1783.7,85.4,2333.1,5431.4,5293,2784.9,1795.9,477.6,234.5,138.5
"Melaka",1982,174.1,167.2,6.9,108.6,112.48,109.139,3.341,25.903,61.581,58.044,3.537,82.686,174.1,170.9,78.7,70.5,18.9,2.8,3.2
"N. Sembilan",1982,222.8,216.3,6.5,130.5,140.1,136.8,3.3,33.3,82.7,79.5,3.2,97.2,222.8,220.7,90.7,80.2,44.3,5.5,2.1
"P. Pinang",1982,396,382.3,13.7,222.5,261.1,253.116,7.984,45.507,134.9,129.2,5.7,177,396,389.3,129.6,220.4,36.2,3,6.7
"Pahang",1982,279.6,270.2,9.5,138.7,190.6,186.2,4.3,25.3,89.1,84,5.1,113.4,279.6,275.1,170.4,82.4,21,1.2,4.6
"Perak",1982,638.6,604,34.6,360.1,406.5,386.4,20.1,73.8,232.1,217.6,14.5,286.3,638.6,629.3,258.7,267.7,93.4,9.5,9.3
"Perlis",1982,58.1,55.7,2.4,37.8,39.3,38.3,1,7.6,18.8,17.4,1.4,30.2,58.1,57.3,44.8,9.7,1.8,1,0.7
"Sabah",1982,354.3,343.6,10.7,237.4,278,271.2,6.8,33.5,76.2,72.4,3.9,204,354.3,296.2,208.1,63.7,1.5,22.9,58.1
"Sarawak",1982,539.7,524.7,15,230.5,338.2,329.8,8.4,43.4,201.5,194.9,6.6,187.2,539.7,536.6,381.1,150.2,2.6,2.7,3.1
"Selangor",1982,691.9,676.9,15,357.1,457.2,449.2,8,76.3,234.7,227.7,7,280.8,691.9,681.9,266.2,243.3,120,52.3,10.1
"Terengganu",1982,227.2,221.1,6.1,121.9,147.3,144.3,2.9,28.1,80,76.8,3.2,93.8,227.2,225.1,210.6,12.8,1.5,0.2,2.1
"W.P Kuala Lumpur",1982,472.6,463.6,9,206.1,311.3,306.2,5.1,41.7,161.3,157.4,3.9,164.4,472.6,462.2,139,261.6,53,8.6,10.4
"Johor",1983,650.9,623.7,27.2,344.1,417.6,402.2,15.4,75.8,233.3,221.5,11.8,268.3,650.9,640.5,198.3,249.5,48,144.7,10.5
"Kedah",1983,388.2,373.6,14.7,226.6,243.2,237.8,5.4,46.2,145.1,135.8,9.3,180.5,388.2,386.4,290.2,63.2,20.5,12.5,1.8
"Kelantan",1983,301.3,282.5,18.8,216.5,191.9,182.2,9.7,61,109.4,100.3,9.1,155.4,301.3,295.8,276.1,15.5,4,0.3,5.5
"Malaysia",1983,5671.8,5457,214.9,2969.4,3693.1,3570.4,122.6,620.8,1978.8,1886.5,92.2,2348.6,5671.8,5494.3,2828.5,1869.7,493.4,302.8,177.5
"Melaka",1983,170.3,165.5,4.8,102.3,105.919,102.993,2.926,19.671,64.409,62.542,1.867,82.658,170.3,169.2,56.9,83.9,25,3.4,1.1
"N. Sembilan",1983,223.5,215,8.5,135.1,138.6,134.5,4.1,32.8,84.9,80.5,4.4,102.3,223.5,222.7,97.8,88.8,32.6,3.4,0.8
"P. Pinang",1983,421,404.8,16.1,233.7,272.003,262.249,9.754,50.962,149,142.6,6.4,182.7,421,411.6,141.1,228.1,39.6,2.8,9.4
"Pahang",1983,342.6,333.5,9.1,166.3,234.6,229.3,5.4,28.1,107.9,104.2,3.7,138.2,342.6,329.5,198.9,97.4,31,2.3,13.1
"Perak",1983,704.9,669.2,35.7,359.8,443.9,422.4,21.6,80,261,246.8,14.1,279.8,704.9,694,292.9,290.6,100.3,10.2,10.9
"Perlis",1983,66,63.8,2.1,45.7,48.3,47,1.3,9,17.7,16.8,0.9,36.8,66,65.1,45.1,17.1,2,0.9,0.8
"Sabah",1983,393.8,377.7,16.1,224.6,295,284.4,10.6,34.6,98.7,93.3,5.5,190,393.8,329.9,228.8,68.3,2.6,30.2,63.9
"Sarawak",1983,569.5,540.1,29.4,229.7,354.8,337.9,16.8,41.5,214.7,202.1,12.6,188.2,569.5,562.6,397.6,159.9,3.2,1.9,6.9
"Selangor",1983,757.2,739.9,17.2,363.3,499.3,489,10.4,77.7,257.8,251,6.8,285.6,757.2,732.7,253.2,267.8,133.3,78.4,24.4
"Terengganu",1983,243.1,236.9,6.2,138.7,161.6,157.6,4,29.1,81.5,79.3,2.2,109.5,243.1,238.9,221.4,15.2,2.3,0,4.2
