"ConState","Year","AllLabourInsR","InsEmpR","InsUnempR","AllLabourOutR","AllLabourInsU","InsEmpU","InsUnempU","AllLabourOutU"
"Malaysia",1982,3398.3,3280.9,117.4,1851.3,2033.1,1968.1,65.1,1093.3
"Malaysia",1983,3608.4,3466.9,141.5,1928.6,2063.5,1990.1,73.4,1040.8
"Malaysia",1984,3731.6,3537.8,193.8,1948.9,2130.9,2028.9,102.1,1170.7
"Malaysia",1985,3810.8,3590.3,220.4,1963.1,2179.4,2063,116.3,1161.8
"Malaysia",1986,4064.6,3763.7,300.9,2039.6,2157.5,1996.5,161,1148.7
"Malaysia",1987,4264.5,3953.6,310.9,2089.4,2192.3,2030.4,162,1156.8
"Malaysia",1988,4394,4068.4,325.6,2122.5,2243.1,2088.8,154.3,1179.1
"Malaysia",1989,4482.3,4218.9,263.4,2244.3,2297.1,2172,125.1,1219.2
"Malaysia",1990,4674.8,4459.3,215.5,2327.5,2325.4,2225.7,99.7,1192.3
"Malaysia",1992,3245.4,3105,140.4,1681.8,4073.6,3942.8,130.8,2101.8
"Malaysia",1993,3471.4,3314.5,156.9,1776.8,4228.7,4068.8,159.9,2098.2
"Malaysia",1995,3527.9,3402.8,125.1,1933.2,4365.2,4242.2,123,2364.5
"Malaysia",1996,4005.6,3892.5,113.1,2003.7,4610.4,4506.7,103.7,2375.3
"Malaysia",1997,4019.7,3903.9,115.7,2163.6,4764.3,4665.2,99.1,2441.5
"Malaysia",1998,4108.3,3975.7,132.7,2284.4,4775.3,4624,151.3,2649.6
"Malaysia",1999,4154,4010.5,143.6,2334.9,4997.4,4827.3,170.1,2763.6
"Malaysia",2000,4381.5,4241.4,140.1,2344.9,5174.6,5027.8,146.8,2720.2
"Malaysia",2001,3321.2,3184.1,137,1877.2,6378.3,6172.9,205.3,3362.7
"Malaysia",2002,3369.4,3241.8,127.6,1915.6,6516.8,6300.8,215.9,3558.2
"Malaysia",2003,3541.7,3403.8,137.9,1929.9,6697.9,6466,231.9,3528.7
"Malaysia",2004,3517.4,3375.4,142,2052.7,6828.8,6604.1,224.7,3677.9
"Malaysia",2005,3405.9,3273.7,132.3,2130,7007.5,6771.7,235.8,3918.2
"Malaysia",2006,3497.9,3374.4,123.4,2168.8,7131.1,6900.9,230.1,4036.3
"Malaysia",2007,3559.1,3436.1,123,2165.3,7330.4,7102,228.4,4164.8
"Malaysia",2008,3526,3394.5,131.5,2255.4,7502.1,7265.1,237,4320.3
"Malaysia",2009,3625.2,3485.9,139.2,2249.2,7690.1,7411.4,278.7,4416.5
"Malaysia",2010,3838.3,3707,131.3,2329.9,8465.6,8192.5,273.1,4693.1
"Malaysia",2011,3911.4,3775.1,136.3,2366.2,8829.2,8576.4,252.9,4657.2
"Malaysia",2012,3982.8,3852.4,130.4,2242.9,9238.9,8968.1,270.8,4684.6
"Malaysia",2013,4079.9,3951.3,128.6,2144.6,9900.6,9594.1,306.5,4636.6
"Malaysia",2014,3538,3428.7,109.2,1705.7,10725.7,10423.9,301.8,5115.3
"Malaysia",2015,3482,3374,108.1,1661.5,11035.9,10693.7,342.2,5208.4
"Malaysia",2016,3411.2,3300.3,110.9,1655.1,11256.6,10863.3,393.2,5332.5
"Malaysia",2017,3346.6,3245.9,100.7,1611.5,11606,11204.1,401.9,5440.6
