"ConState","Year","TotInsLabour","InsLabEmp","InsLabUnemp","TotOutLabour","TotInsLabourM","InsLabEmpM","InsLabUnempM","TotOutLabourM","TotInsLabourF","InsLabEmpF","InsLabUnempF","TotOutLabourF","AllTotalWorkForce","SubTotWorkForce","BumiWorkForce","ChineseWorkForce","IndianWorkForce","OtherWorkForce","SubTotForeignWorkForce"
"Malaysia",1982,5431.4,5249,182.4,2944.6,3562.3,3465.3,97,611.5,1869.1,1783.7,85.4,2333.1,5431.4,5293,2784.9,1795.9,477.6,234.5,138.5
"Malaysia",1983,5671.8,5457,214.9,2969.4,3693.1,3570.4,122.6,620.8,1978.8,1886.5,92.2,2348.6,5671.8,5494.3,2828.5,1869.7,493.4,302.8,177.5
"Malaysia",1984,5862.5,5566.7,295.8,3119.6,3832.2,3662.6,169.6,654.9,2030.3,1904.1,126.2,2464.7,5862.5,5653.3,3086.2,1891.4,515.4,160.4,209.3
"Malaysia",1985,5990.1,5653.4,336.8,3124.9,3896.7,3700.5,196.1,657.7,2093.5,1952.8,140.6,2467.3,5990.1,5769.5,3100.5,1952.1,519.6,197.3,220.6
"Malaysia",1986,6222.1,5760.1,461.9,3188.3,4037.7,3753.5,284.2,666,2184.3,2006.6,177.7,2522.3,6222.1,6010.4,3308.7,2037.3,529,135.5,211.7
"Malaysia",1987,6456.8,5983.9,472.9,3246.1,4151.3,3868,283.3,697.3,2305.5,2115.9,189.6,2548.9,6456.8,6235.7,3475.4,2103,542.4,115,221.1
"Malaysia",1988,6637,6157.2,479.8,3301.5,4268.7,3984,284.7,700.6,2368.4,2173.2,195.1,2600.9,6637,6389.8,3562.2,2135.1,564.2,128.3,247.2
"Malaysia",1989,6779.4,6390.9,388.5,3463.5,4389.1,4155.3,233.7,737.5,2390.3,2235.5,154.8,2726,6779.4,6540.3,3640.3,2171.4,578.5,150.1,239
"Malaysia",1990,7000.2,6685,315.2,3519.7,4489.8,4310.7,179.1,775.1,2510.3,2374.3,136.1,2744.6,7000.2,6751.1,3748.6,2237.7,594.7,170.1,249.1
"Malaysia",1992,7319,7047.8,271.2,3783.6,4716.5,4554.2,162.3,841.4,2602.5,2493.6,108.9,2942.2,7319,6963.6,3881.6,2305.3,616.6,160.2,355.4
