"ConState","Year","AllTotalEdu","NonEduc","Primary","Secondary","Tertiary","AllTotalCert","UPSRAEquiv","PMRSRPLCEEquiv","SPMEquiv","STPMEquiv","Certificate","Diploma","Degree","ReligCert","NoCert","NoRelevant"
"Malaysia",1982,5431.4,838.5,2277.1,1983.4,331.8,5431.4,0,502.4,671,52.9,0,138,93.8,7.9,3135.4,829.5
"Malaysia",1983,5671.8,830.4,2327.2,2171,343.1,5671.8,0,528.7,750.1,61.7,0,137.1,90.2,11,3274.4,818.6
"Malaysia",1984,5862.5,848.9,2282.5,2352.2,378.8,5862.5,0,605.2,869.4,72.3,0,143.1,114.4,7,3209.2,841.4
"Malaysia",1985,5990.1,815.2,2323.1,2437.1,414.1,5990.1,0,587.7,905.2,77.9,0,155.2,126.6,9.8,3322.1,805.2
"Malaysia",1986,6222.1,780.3,2348.9,2626.2,466.5,6222.1,0,590.4,1017.8,99.3,0,168.7,136,8.5,3429.8,771.5
"Malaysia",1987,6456.8,776.6,2338.1,2841.4,500.6,6456.8,0,643,1081.4,120.5,0,173,147.2,7.4,3515.4,768.7
"Malaysia",1988,6637,740.4,2392.4,2974.8,526.3,6637,0,621.2,1173.8,127,0,173.7,152.4,9.3,3645.7,730.9
"Malaysia",1989,6779.4,730.1,2336,3153.8,559.3,6779.4,0,625.3,1289.9,155,0,196.7,155.9,4.1,3626.8,725.5
"Malaysia",1990,7000.2,671.8,2365.5,3347.2,615.7,7000.2,0,615.4,1443.5,157.6,0,222.2,169.3,3.1,3720.4,668.5
"Malaysia",1992,7319,659.8,2215.7,3707.5,736,7319,0,962.3,1683.7,241.2,0,246.8,215,0,3309.9,659.8
"Malaysia",1993,7700.1,626.5,2342.6,3954.6,776.4,7700.1,0,963.2,1842.4,240.6,0,248.2,232.3,0,3546.8,626.5
"Malaysia",1995,7893.1,676.8,2179.9,4161.8,874.2,7893.1,0,1114.2,2051.2,276.9,0,310.4,262.4,0,3195.5,676.8
"Malaysia",1996,8616,673.8,2432.5,4484.6,1025.1,8616,0,1085.7,2112.8,262.5,0,374.9,315.1,0,3790.6,673.8
"Malaysia",1997,8784,632.5,2428.7,4601,1121.9,8784,0,1149.8,2295.7,286.5,0,424.5,347.1,0,3647.9,632.5
"Malaysia",1998,8883.6,612.9,2404.4,4698.2,1167.3,8883.6,0,1213.3,2340.6,278.9,0,447,382.5,0,3608,612.9
"Malaysia",1999,9151.5,592.5,2380.6,4969.9,1208.4,9151.5,0,1257.5,2602.7,281.4,0,463.7,420.4,0,3532.7,592.5
"Malaysia",2000,9556.1,531.8,2380.7,5261,1382.5,9556.1,0,1280.6,2845.6,294.2,0,553,486.2,0,3564.2,531.8
"Malaysia",2001,9699.4,494.1,2337.1,5371.3,1492.2,9699.4,0,1315.3,2978.9,294.4,0,582.3,552.8,0,3477.3,494.1
"Malaysia",2002,9886.2,523.2,2326,5383.9,1651.5,9886.2,0,1369.9,3055.4,298.2,0,674.3,625.4,0,3338.7,523.2
"Malaysia",2003,10239.6,488.2,2290.4,5665,1794.5,10239.6,0,1407.3,3269.1,309.2,0,747.8,681.2,0,3335,488.2
"Malaysia",2004,10346.2,483.2,2248.6,5699.4,1908.7,10346.2,0,1415.9,3307.6,304.7,0,809.2,733.8,0,3291.1,483.2
"Malaysia",2005,10413.4,476.3,2144.8,5795.2,1995,10413.4,0,1460.2,3503.7,310.1,0,878.4,758.8,0,3025.7,476.3
"Malaysia",2006,10628.9,403.7,2172.7,5989.4,2061.9,10628.9,0,1464.8,3658.8,320,0,865.6,836.4,0,3079.3,403.7
"Malaysia",2007,10889.5,432.6,2104,6133.9,2210,10889.5,0,1494.9,3801.9,342.9,255.3,768.8,812.8,0,2957.5,455.2
"Malaysia",2008,11028.1,489,2016.7,6186.4,2336,11028.1,1248,1550.2,4020.4,359.2,220.7,812.6,901.8,0,1426.3,488.9
"Malaysia",2009,11315.3,438.9,1970.5,6262,2643.8,11315.3,1411,1563.7,4150.5,372.7,251.7,940.9,1034.6,0,1151.2,438.9
"Malaysia",2010,12303.9,452.7,2168.2,6792,2891,12303.9,1582.7,1743.5,4508.4,375.6,285.2,990.7,1196.7,0,1168.7,452.4
"Malaysia",2011,12740.7,418.7,2168.9,7050.9,3102.1,12740.7,1635.1,1812,4694.5,387.7,316.4,1098.1,1262.8,0,1115.9,418.2
"Malaysia",2012,13221.7,415.9,2244.9,7367,3193.9,13221.7,1736,1916.4,4881.5,395.9,314.3,1086.5,1352,0,1123.6,415.5
"Malaysia",2013,13980.5,436,2388.5,7779.5,3376.5,13980.5,1913.7,1991.8,5180.2,409.5,304.4,1234.3,1396.9,0,1116,433.6
"Malaysia",2014,14263.6,396,2264.6,7882.8,3720.3,14263.6,1802.9,1973,5375.8,422.9,356.7,1321.4,1592.1,0,1025,393.8
"Malaysia",2015,14518,446.3,2229.6,7836.6,4005.4,14518,1885.6,1979.1,5345.6,430.1,370.7,1427.5,1740.4,0,893.6,445.3
"Malaysia",2016,14667.8,387.3,2117.2,8098.1,4065.1,14667.8,1810.1,1981.5,5631.4,441.6,366.1,1408.6,1829,0,813.5,386.1
"Malaysia",2017,14952.6,389.8,1987.4,8344.2,4231.1,14952.6,1715.3,2005.9,5914.8,436.5,369.9,1463.3,1938.3,0,719.5,389.1
