"ConState","Year","AllTotalMarital","NeverMarried","Married","Widow","DivorcePermSeparate","AllTotalAge","Age15to19","Age20to24","Age25to29","Age30to34","Age35to39","Age40to44","Age45to49","Age50to54","Age55to59","Age60to64"
"Malaysia",1982,5431.4,1943.9,3277.2,144.5,65.8,5431.4,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5
"Malaysia",1983,5671.8,2005.8,3443.4,145,77.6,5671.8,684.8,1095.4,918.9,753.1,585.8,517.3,432.5,320.2,207.9,155.9
"Malaysia",1984,5862.5,2112.2,3526.3,150.3,73.8,5862.5,658.1,1146.5,959.9,792.9,638.8,521.6,457.8,321.4,214.6,151
"Malaysia",1985,5990.1,2186,3583.3,149.8,71.1,5990.1,662.8,1172.3,984.8,809.3,673.9,521.2,473.2,320.3,229.5,142.9
"Malaysia",1986,6222.1,2309,3694.5,145.4,73.1,6222.1,698.1,1211.7,1015.6,852.6,703.6,530.7,483,344,236.2,146.5
"Malaysia",1987,6456.8,2397.1,3823.5,151.7,84.5,6456.8,707.9,1228.3,1068.3,885,746.3,558.9,503.4,363.4,240.3,155.1
"Malaysia",1988,6637,2482.1,3922.6,146.1,86.2,6637,728.8,1257.9,1084,913.9,766,588,505.8,392.9,241.2,158.6
"Malaysia",1989,6779.4,2533.4,4019.5,148.6,77.6,6779.4,714.5,1267.9,1136.4,939,791.9,619.8,515.1,401.8,238.4,154.6
"Malaysia",1990,7000.2,2647.2,4121.2,152.8,77.9,7000.2,748.4,1292.4,1173.5,984.6,808.5,666.2,501.5,422.6,235.3,167.1
"Malaysia",1992,7319,2718.3,4339.1,164.2,92.3,7319,694,1337.7,1232.4,1050.1,883,720.9,532,431.6,266.2,171.1
"Malaysia",1993,7700.1,2756.8,4697.3,159.8,84.8,7700.1,737.2,1320.3,1253.1,1154.6,983.1,797.1,568.9,447.8,276.4,161.6
"Malaysia",1995,7893.1,2798.5,4834.3,188.4,71.2,7893.1,642.4,1359.2,1259.5,1185.9,1035.2,851.9,644.3,446.6,292.7,175.4
"Malaysia",1996,8616,3028.3,5307.5,198.1,81.4,8616,700.2,1512.8,1392.1,1261.3,1129.5,917.1,711.9,486.1,310.3,194.6
"Malaysia",1997,8784,3047.2,5463.2,171.7,101.2,8784,668.9,1536.8,1435.9,1277.9,1158.1,959.7,736.8,502.6,315.7,191.5
"Malaysia",1998,8883.6,3082.9,5506.8,189,104.5,8883.6,603.4,1513.6,1468.4,1296.9,1183.3,996.9,773,530.5,315.8,201.8
"Malaysia",1999,9151.5,3188.7,5666.1,174.9,120.3,9151.5,612.6,1561.5,1538.3,1319.4,1211.1,1040.1,797,550.8,321.8,198.8
"Malaysia",2000,9556.1,3358.9,5897.4,188.3,111.6,9556.1,637.6,1588.8,1543.8,1395.9,1250.4,1097.4,893.2,593,341.7,214.5
