"ConState","Year","AllLabourInsR","InsEmpR","InsUnempR","AllLabourOutR","AllLabourInsU","InsEmpU","InsUnempU","AllLabourOutU"
"Johor",1982,413.7,398.9,14.8,214,239.4,231.3,8.1,131.1
"Kedah",1982,350.2,337.7,12.4,221.7,53.8,51.2,2.5,37.5
"Kelantan",1982,232.4,222.5,9.9,128.9,87,81.7,5.3,60
"Melaka",1982,130.3,124.9,5.3,82.5,43.8,42.2,1.6,26.1
"N. Sembilan",1982,152.4,147.6,4.8,87.5,70.3,68.6,1.7,43
"P. Pinang",1982,199.8,193.1,6.7,115.2,196.1,189.2,6.9,107.3
"Pahang",1982,194.9,189.2,5.7,96.1,84.8,81,3.7,42.6
"Perak",1982,416.1,392,24.1,234.8,222.5,212,10.5,125.3
"Perlis",1982,51.6,49.6,2,34.5,6.5,6.1,0.4,3.3
"Sabah",1982,261.2,253.2,8,177.9,93,90.3,2.7,59.5
"Sarawak",1982,438.7,428.6,10.1,162.8,101,96.1,4.9,67.8
"Selangor",1982,422.4,411.9,10.5,232.7,269.6,265,4.5,124.4
"Terengganu",1982,134.6,131.6,3,62.6,92.6,89.5,3.1,59.3
"Johor",1983,395.3,381.1,14.2,213.5,255.6,242.6,13,130.6
"Kedah",1983,333.4,320.6,12.8,192,54.8,53,1.8,34.6
"Kelantan",1983,218,205.4,12.6,154.2,83.3,77.1,6.2,62.2
"Melaka",1983,131.9,128,3.9,74.9,38.4,37.5,0.9,27.4
"N. Sembilan",1983,145,138.4,6.6,93.2,78.5,76.6,1.8,41.8
"P. Pinang",1983,217.3,207.8,9.5,127.1,203.6,197,6.6,106.6
"Pahang",1983,258.6,252.5,6.2,127.6,84,81,2.9,38.7
"Perak",1983,446,421.9,24.1,233.9,258.9,247.3,11.6,125.9
"Perlis",1983,52.3,50.8,1.5,37.5,13.7,13,0.6,8.2
"Sabah",1983,304.1,291.2,12.9,173.8,89.7,86.5,3.3,50.8
"Sarawak",1983,459.9,437.4,22.5,165.4,109.5,102.7,6.9,64.4
"Selangor",1983,487.1,475.9,11.2,249.9,270,264,6,113.5
"Terengganu",1983,159.3,155.8,3.5,85.5,83.8,81.1,2.7,53.2
"Johor",1984,443.3,423.4,19.9,237.6,244.9,233.9,11,134.6
"Kedah",1984,386.7,365.1,21.6,237.3,55.9,52.5,3.3,39
"Kelantan",1984,248,234.3,13.7,150,93,88,4.9,63.1
"Melaka",1984,134.4,126.8,7.6,88,37.4,35.8,1.6,21.8
"N. Sembilan",1984,148.1,140.3,7.7,84.9,86.8,83,3.8,53.2
"P. Pinang",1984,213.3,206.2,7.1,136.6,184.5,177.5,7,109.2
"Pahang",1984,228.8,218.8,10,114.9,92.9,88.1,4.8,48.1
"Perak",1984,449.7,424.9,24.8,237.3,247.6,234.7,12.9,139.8
"Perlis",1984,59.9,57.1,2.7,36.8,4.9,4.7,0.2,3.3
"Sabah",1984,332.1,314,18.1,142.7,93.9,86.4,7.5,51.7
"Sarawak",1984,508.7,476.4,32.3,158.6,108,98.9,9.1,58.3
"Selangor",1984,443.7,424.1,19.6,246.4,275.1,266.2,8.9,134.5
"Terengganu",1984,126.7,119.1,7.6,73.2,92.6,85.3,7.3,56.5
"W.P Labuan",1984,8.2,7.3,0.9,4.8,9,8.6,0.4,3.9
"Johor",1985,460.6,436.1,24.5,223.3,249.8,236.6,13.1,131.4
"Kedah",1985,381.6,354.1,27.5,233.6,63.8,59.8,4,42.4
"Kelantan",1985,255.5,240,15.5,152.2,88.8,83.6,5.2,60.7
"Melaka",1985,140.1,132.6,7.5,84.8,39.9,37.5,2.4,21.1
"N. Sembilan",1985,137.8,131.2,6.6,80.3,83.3,79.6,3.7,55
"P. Pinang",1985,225.1,213,12.1,148.3,183.4,175.1,8.3,110.1
"Pahang",1985,247.1,237.5,9.6,118.1,95.6,90.4,5.2,48.4
"Perak",1985,453.5,427.2,26.3,254.8,259.6,242.4,17.2,136.1
"Perlis",1985,58.7,54,4.8,30.8,6.7,6.6,0.2,3
"Sabah",1985,334.8,315.2,19.7,148,96.2,88.2,8,51.5
"Sarawak",1985,517.2,484.5,32.7,157.4,115.5,103,12.5,56.7
"Selangor",1985,458.4,433.9,24.5,256.3,282.2,272.2,10,136.8
"Terengganu",1985,132.4,124,8.4,70.7,96.5,88.4,8.1,57.3
"W.P Labuan",1985,7.9,7.1,0.9,4.7,8.3,8,0.4,3.9
"Johor",1986,480.6,451.1,29.5,231.3,270.6,249.3,21.3,136.4
"Kedah",1986,390.8,358.7,32.1,252.2,64.2,59.3,4.9,44
"Kelantan",1986,268.5,250,18.5,155.3,96.7,90.3,6.4,65.9
"Melaka",1986,150.2,135.3,14.9,90.1,37.4,34.5,2.9,23.1
"N. Sembilan",1986,149,139.2,9.8,85.5,80.5,74.3,6.2,48.4
"P. Pinang",1986,249.2,228,21.1,150.9,178.1,163.4,14.6,104.4
"Pahang",1986,244,233.4,10.6,117.3,87.6,82,5.6,48
"Perak",1986,484.2,442.6,41.6,261.9,250,227.3,22.6,128.9
"Perlis",1986,57.2,52.4,4.7,34,5.4,5.1,0.3,3.3
"Sabah",1986,349.5,323.1,26.5,163,92,82.4,9.6,51.4
"Sarawak",1986,548.3,502.6,45.8,150.6,126.4,111.8,14.7,55.1
"Selangor",1986,538.7,506.6,32.1,273.8,285,270.5,14.6,137.5
"Terengganu",1986,146.7,134.1,12.6,69.2,94.7,84.3,10.4,55.4
"W.P Labuan",1986,7.7,6.7,1,4.4,7.6,6.9,0.6,3.4
"Johor",1987,519.3,487.7,31.6,244.8,262.5,245,17.5,135.3
"Kedah",1987,388.6,357,31.6,250.4,67.9,63.1,4.8,40.8
"Kelantan",1987,274.5,258.8,15.8,151.1,100.4,91.7,8.7,66.7
