"ConState","Year","AllTotalEdu","NonEduc","Primary","Secondary","Tertiary","AllTotalCert","UPSRAEquiv","PMRSRPLCEEquiv","SPMEquiv","STPMEquiv","Certificate","Diploma","Degree","ReligCert","NoCert","NoRelevant"
"Johor",1982,653.1,71.8,317.1,230.5,33.6,653.1,0,55.5,76.6,4,0,17.9,7.8,1.4,419.7,70.2
"Kedah",1982,403.9,78,197.5,110.5,17.7,403.9,0,28.1,36.9,2.3,0,9.8,3.5,1.8,245.1,76.2
"Kelantan",1982,319.4,100.5,119.2,81.3,18.5,319.4,0,25,32,1.7,0,7.5,3.2,0.7,149.8,99.7
"Melaka",1982,174.1,17.5,72.3,73.3,10.8,174.1,0,13.4,24.5,2,0,5.6,2.9,0.2,108,17.3
"N. Sembilan",1982,222.8,20.7,109.6,79,13.6,222.8,0,17,23.9,1.8,0,7.4,3.4,0.3,148.6,20.4
"P. Pinang",1982,396,28.5,165.7,177.4,24.3,396,0,42.7,54.2,4.2,0,9.4,6.9,0.1,249.9,28.5
"Pahang",1982,279.6,30.9,138.2,94.3,16.1,279.6,0,25.3,34.6,1.8,0,7.7,3,0.4,176.3,30.4
"Perak",1982,638.6,75.3,313.6,219.6,30.1,638.6,0,61.9,52.8,3.1,0,17.7,5.1,1.1,422.8,74
"Perlis",1982,58.1,9.6,28,16.8,3.6,58.1,0,4,5.8,0.6,0,1.8,0.6,0.1,35.7,9.6
"Sabah",1982,354.3,91.7,126.8,124.8,10.9,354.3,0,43.4,27.1,2.9,0,2.8,4.4,0.3,182,91.4
"Sarawak",1982,539.7,187.7,189.4,141.2,21.4,539.7,0,40.3,37.7,3.3,0,10.2,5.8,0.1,254.8,187.6
"Selangor",1982,691.9,46.1,258,313.2,74.6,691.9,0,70.6,137,14.8,0,22.7,28.8,0.7,371.9,45.4
"Terengganu",1982,227.2,61,93.8,61.3,11,227.2,0,14.7,25.4,0.6,0,5.3,2.3,0.6,118,60.3
"W.P Kuala Lumpur",1982,472.6,19,147.8,260.2,45.5,472.6,0,60.5,102.4,9.6,0,12.2,16.3,0.2,252.7,18.7
"Johor",1983,650.9,75.7,315.7,231,28.6,650.9,0,67.1,69.4,3.7,0,13.4,6.6,1.4,415,74.3
"Kedah",1983,388.2,76.2,177.7,112.2,22.1,388.2,0,23.2,43.7,2.4,0,13,3.2,1.5,226.4,74.7
"Kelantan",1983,301.3,84.4,107.4,85,24.5,301.3,0,26.6,30,2.2,0,13.6,3.5,1.8,141.2,82.4
"Melaka",1983,170.3,12.3,77.6,69.7,10.8,170.3,0,15.5,27.9,1.7,0,5,3.6,0,104.3,12.3
"N. Sembilan",1983,223.5,15.6,99.4,94.4,14,223.5,0,15.2,34.4,2.4,0,6.4,2.7,0.3,146.7,15.4
"P. Pinang",1983,421,27.3,168.6,197.9,27.3,421,0,46.2,66.4,7.7,0,7.1,8.2,0,258.4,27
"Pahang",1983,342.6,34.9,170.3,120.2,17.2,342.6,0,22.4,42.4,3.4,0,7.8,3.2,0.7,228.5,34.2
"Perak",1983,704.9,87.5,323.6,265.9,27.9,704.9,0,75.6,67.5,4.2,0,13.9,5.3,2,451,85.4
"Perlis",1983,66,7.6,35.4,20.8,2.2,66,0,4.1,7.9,0.3,0,1.5,0.1,0,44.6,7.6
"Sabah",1983,393.8,100.2,142.2,139.4,12,393.8,0,46.6,34.2,3.1,0,3.1,5,0.4,201.6,99.8
"Sarawak",1983,569.5,184.4,195.2,167.2,22.7,569.5,0,48.7,41,3.2,0,10.4,6.5,0.1,275.3,184.2
"Selangor",1983,757.2,55.3,265.8,361.5,74.5,757.2,0,70,155.1,16.8,0,20.6,27,1.1,412.6,54
"Terengganu",1983,243.1,50.3,106.7,69.1,17.1,243.1,0,15.4,29.7,1.2,0,9.7,2.2,0.9,134.5,49.3
"W.P Kuala Lumpur",1983,439.6,18.8,141.7,236.7,42.4,439.6,0,52.1,100.5,9.4,0,11.5,13.1,0.8,234.3,18
"Johor",1984,688.2,66.4,313.2,269.4,39.3,688.2,0,64.3,95.4,6.7,0,17.9,9,1.3,428.4,65
"Kedah",1984,442.6,75.8,200.9,140.4,25.5,442.6,0,36.3,54.5,3.8,0,11.4,5,0.6,255.9,75
"Kelantan",1984,341,102.5,112.9,100.1,25.5,341,0,28,45.2,3.8,0,10,4.7,0.4,146.7,102.1
"Melaka",1984,171.8,17.4,71.8,72.2,10.3,171.8,0,16.2,28,1.7,0,4.1,3.3,0,101.1,17.4
"N. Sembilan",1984,234.9,18.6,106.3,94.2,15.7,234.9,0,20.9,33.5,2.8,0,7.4,4.2,0.3,147.5,18.4
"P. Pinang",1984,397.9,26.7,152.4,192,26.8,397.9,0,43.2,71.1,5.1,0,9.3,8.8,0.1,233.6,26.5
"Pahang",1984,321.7,36.2,145.3,124.1,16.1,321.7,0,38.7,48.7,3,0,6.9,3,1.2,185.4,34.9
"Perak",1984,697.2,83.8,317.2,261.9,34.4,697.2,0,69.3,76.6,4.9,0,16.9,7.9,1.5,437.9,82.3
"Perlis",1984,64.8,6.9,29,25.3,3.6,64.8,0,5,8.6,0.6,0,2,0.6,0,41.2,6.9
"Sabah",1984,425.9,109.2,158.9,144.4,13.4,425.9,0,43.7,33.2,2.6,0,4.8,6.1,0.2,226.4,108.9
"Sarawak",1984,616.7,185,209.2,196.5,25.9,616.7,0,53.6,43.8,3.2,0,12.4,8.3,0,310.3,185
"Selangor",1984,718.8,49.5,234.6,355,79.6,718.8,0,81.6,162.9,17,0,24.3,30.6,0.6,353,48.8
"Terengganu",1984,219.3,44.9,88.3,73.1,13,219.3,0,17.7,31.3,1.5,0,6.8,2.9,0.4,114.2,44.4
"W.P Kuala Lumpur",1984,504.5,24.2,136.6,294.9,48.8,504.5,0,84.3,134.3,15.5,0,8.7,19.6,0.4,217.9,23.9
"W.P Labuan",1984,17.3,1.9,6,8.6,0.8,17.3,0,2.4,2.3,0.1,0,0.3,0.4,0,9.9,1.9
"Johor",1985,710.4,61.8,324.2,279.2,45.1,710.4,0,60.3,100.3,8.2,0,19.2,10.7,1,449.8,60.9
"Kedah",1985,445.4,68.9,204.2,145,27.3,445.4,0,32.3,56.4,4.1,0,12.9,4.3,1.1,266.4,67.8
"Kelantan",1985,344.3,100.1,116.6,101.3,26.3,344.3,0,24.6,46.2,4.2,0,10.5,5.1,0.8,153.5,99.3
