"ConState","Year","AllTotalMarital","NeverMarried","Married","Widow","DivorcePermSeparate","AllTotalAge","Age15to19","Age20to24","Age25to29","Age30to34","Age35to39","Age40to44","Age45to49","Age50to54","Age55to59","Age60to64"
"Johor",1982,653.1,252.6,378.6,16.3,5.6,653.1,86.1,130.9,107.6,88.3,65.8,56.3,45.5,38.3,20.7,13.5
"Kedah",1982,403.9,111.5,275,12.1,5.4,403.9,43.2,64,56.1,50.9,43.3,43.4,39.4,29.8,17.7,16.1
"Kelantan",1982,319.4,68.9,230.7,10.4,9.5,319.4,27.6,51,44.5,38.7,36.2,36,25,24.9,21.1,14.5
"Melaka",1982,174.1,68.6,98.3,5.1,2,174.1,21.9,33.8,28,21.3,19.6,13.9,14.3,10.8,6.3,4.1
"N. Sembilan",1982,222.8,77.2,136.8,6.7,2.1,222.8,28,41,34.6,29.1,22.6,23.9,18.5,13.8,7.1,4.2
"P. Pinang",1982,396,169.1,213.7,9.1,4.1,396,52.8,81.1,64.9,52.2,38.8,37.2,25.2,22.8,13.7,7.3
"Pahang",1982,279.6,95.6,175.1,5.6,3.3,279.6,36.2,54.9,43.7,39.4,31.4,28.6,18.4,11.5,9.9,5.7
"Perak",1982,638.6,222.9,386.6,20.9,8.1,638.6,79.8,109.9,86.5,77.8,66.9,65.5,56.4,47.1,28.6,20.1
"Perlis",1982,58.1,15.8,38.6,2.1,1.5,58.1,6.2,9.9,7.1,6.9,5.4,7.3,4.9,5.6,2.9,1.9
"Sabah",1982,354.3,116.6,222.5,11.4,3.8,354.3,42.2,75.3,59.7,48,31.8,33.8,24.1,18.5,12.4,8.5
"Sarawak",1982,539.7,167.4,349.1,16.3,6.9,539.7,81,96.8,79.6,65.9,55.2,47.9,36.5,33.5,23.1,20.1
"Selangor",1982,691.9,284.9,388.1,13.7,5.2,691.9,75.6,155.3,130.6,105.5,69.7,59.2,43.3,28.6,14.6,9.6
"Terengganu",1982,227.2,63.2,151.5,7,5.6,227.2,24.1,42.2,34,25.9,24.9,22.5,17.9,14.6,11.7,9.5
"W.P Kuala Lumpur",1982,472.6,229.7,232.4,7.9,2.7,0,0,0,0,0,0,0,0,0,0,0
"Johor",1983,650.9,240.4,386.4,15.2,9.1,650.9,83,122.7,107.4,86.7,68.4,60,43.8,37,24.5,17.5
"Kedah",1983,388.2,101.2,269.1,11,6.9,388.2,37.2,56.9,55.2,55,43.7,40,39.8,27,16.9,16.6
"Kelantan",1983,301.3,60.9,221.9,8.6,9.9,301.3,22.6,47.5,41.9,37,39.9,27.4,29.7,21.9,20.3,13.2
"Melaka",1983,170.3,61.8,100.6,6.7,1.3,170.3,19.8,28.5,27.4,24.9,16.9,19.2,13.2,12.1,5.2,3.1
"N. Sembilan",1983,223.5,73.9,140.5,6.9,2.2,223.5,22.7,41.8,33.7,29.1,18,29.3,19.4,15.8,7.8,5.9
